artist,track,lyrics,esa_vector
Grateful Dead,Friend of the Devil,37 contributorsfriend devil lyric lit reno trailed twenty hound get sleep night morning came around set runnin take time friend devil friend mine get home daylight might get sleep tonight ran devil babe loaned twenty bill spent night utah cave hill set runnin take time friend devil friend mine get home daylight might get sleep tonight ran levee devil caught took twenty dollar bill vanished air set runnin take time friend devil friend mine get home daylight might get sleep tonight got two reason cry away lonely night first one named sweet anne marie heart delight second one prison babe sheriff trail catch spend life jail got wife chino babe one cherokee first one say got child look like set runnin take time friend devil friend mine get home daylight might get sleep tonight got two reason cry away lonely night first one named sweet anne marie heart delight second one prison babe sheriff trail catch spend life jail got wife chino babe one cherokee first one say got child look like set runnin take time friend devil friend mine get home daylight might get sleep tonight,"[[0.007133716527463476, 0.009143961453315187, 0.011047800324559168, 0.006776421992649561, 0.0021692426574827133, 0.006177194434741434, 0.0, 0.0042782320937955485, 0.005914627218268115, 0.0054723698097324065, 0.0171714176089454, 0.0016364784658521078, 0.0030817389336329744, 0.023008911698022456, 0.008947638258257791, 0.0058207247950800576, 0.01923898407681832, 0.006513486882723485, 0.006758784261874626, 0.00393053211926982, 0.011281898339367642, 0.019185726412260518, 0.0072181022902431235, 0.005912782344208642, 0.0059109751640564695, 0.004605484801327181, 0.01959283429948713, 0.0050749587843841905, 0.010986443073369215, 0.004656709914140176, 0.02524408641954747, 0.0027523420455879883, 0.015192093349322876, 0.014967037951155067, 0.005128193546327863, 0.007838990785685404, 0.005960950728039381, 0.003824101767708914, 0.0044805169353885265, 0.011940753119312678, 0.004775921503410465, 0.03984815799842804, 0.00310871906027338, 0.002912017347194333, 0.0008726830928025671, 0.006916433850870948, 0.005375150470567044, 0.004182027164791532, 0.002413767575972449, 0.010652064195075743, 0.0666280651968421, 0.010379313147123127, 0.0028495367457954347, 0.019573885188464195, 0.004438791026818055, 0.008897717415652187, 0.010643735850144583, 0.001192742304924388, 0.003937403841498737, 0.02372809646770737, 0.009873904860223532, 0.013029599207587221, 0.006372730831796317, 0.011178870567233374, 0.00834000044462905, 0.00029451702335526184, 0.0, 0.008284068470978493, 0.0015195839200428955, 0.008390641288552107, 0.0032643781526768933, 0.004983544808144905, 0.004972601839179039, 0.005034953779043759, 0.004896854472178624]]"
Tate McRae,Sports car,85 contributorstranslationsitalianohebrewpolskinederlandsfranaisportugusdeutschtrkeespaolsports car lyricssports car third single tate mcraes third album close preceded ok im ok 2 hand song first teased tate jingle ball december read illegal illegal hey cute jean take mine oh golly gee ca take goin weak knee put key share one seat share one seat alley back center room window rolled boy make choose alley back center room window rolled boy mak choose think know think wan na uh ai got oh got sport car whil drive real far yeah know yeah know pretty blue streetlight hazel eye feel right could go like three four time type got butterfly good hurt thinkin verse corner bed oh maybe beach could lookin think know think wan na uh ai got oh got sport car uh drive real far yeah know yeah know think know oh think wan na uh wan na ai got oh got sport car mm drive real far yeah know yeah know oh guy wan na waste time time let go ride let go let go ride come oh guy wan na waste time wan na waste time let go ride let go ride think wan na wan na oh got sport car oh drive real far ah yeah know,"[[0.008440190354584615, 0.009489476213639925, 0.0065225684654530314, 0.009859915465410356, 0.0025136019501045145, 0.0015084387568114414, 0.00045356128478715675, 0.0033661612039986026, 0.01094566959053375, 0.003983074246911621, 0.004373469103521303, 0.0004207794135729994, 0.007342989003729253, 0.007391920195226729, 0.0, 0.007312283602948763, 0.0034994370932598592, 0.004746285467851933, 0.004801765703426767, 0.002499755856595658, 0.012002536093846855, 0.02009120429049931, 0.004568026902492238, 0.007011984749581144, 0.003547971788958279, 0.0033125283861240025, 0.006749118809991847, 0.00346544165577075, 0.005170711782062412, 0.006127871123265854, 0.0007838241369584553, 0.0022984269390571876, 0.007717915466147773, 0.022302374158791643, 0.004967414266114381, 0.00638499431194151, 0.00404764530254314, 0.0021936179841386227, 0.0017628586841733492, 0.004953573676460037, 0.005906660854355287, 0.006610144715088882, 0.0009652582067496777, 0.005100964847432576, 0.012368299292804112, 0.00722721647665362, 0.006382594647983568, 0.003054588855592469, 0.0018543872478215544, 0.00528292875438768, 0.008860930777417913, 0.023435436943046742, 0.00176660750841376, 0.004672392807361774, 0.003925831378323376, 0.006441839663088615, 0.02024324547318681, 0.0011584106043688795, 0.004007432219952924, 0.020304337347028526, 0.012854356891912088, 0.005229821456371459, 0.00538768447660913, 0.0068875240005236, 0.007111944912584606, 0.008879046873928216, 0.01615200256224708, 0.005610235859405967, 0.002956379983430391, 0.003925424612188294, 0.003756560805499594, 0.006093175289169635, 0.004574568722109687, 0.0051441882351133655, 0.004926853585585067]]"
Tate McRae,Revolving door,56 contributorstranslationsitalianoportugusespaolhebrewnederlandsrevolving door lyric cold heart finally melting moved east west wing finally think might helping oh oh confess versatile say good might denial take one call undoes dial ah baby tried call like bad habit tried call like bad habit keep comin back like revolvin door say could want less want keep comin back like revolvin door say could want less want shut tried com come around fuck good fuck thn got ta move town get gym couch oh baby tried tried call call like bad habit yeah tried tried call call like bad habit keep comin back oh like revolvin door yeah say could want less want keep comin back oh like revolvin door yeah say could want less want ca get want ca get enough make ca get want ca get enough make change mind much ca find work much ca reminded life feel worse good supposed stage fuck need minute change mind much exhaustin still think night boston hurt would admit supposed adult fuck need minute oh need minute need minute ooh need need fuck need minute need need minute need minute yeah need need fuck need minute need minute ooh need minute mm mm,"[[0.011234542760583666, 0.008779759280441517, 0.006132710756693307, 0.014059204995143857, 0.007079328994081146, 0.0034586682022511674, 0.002917786709939277, 0.004004594373019441, 0.0210096218871049, 0.006324970003109244, 0.009381071646002504, 0.003670311186066567, 0.005653892324273334, 0.006604685011970687, 0.0, 0.004254257496385846, 0.003991549413773782, 0.0055317579968716425, 0.004912219057441672, 0.006187450499403632, 0.01488673626941794, 0.01102706217557187, 0.005683795030232103, 0.006792846398982419, 0.007283062737585703, 0.006602742420281803, 0.01138864664739899, 0.004604133565666675, 0.003301871517793736, 0.002270805665575283, 0.010323591132785177, 0.012533722154275046, 0.012262580839573819, 0.010301718024040332, 0.010041057524994085, 0.006956768985825646, 0.007579114742744935, 0.002865380888336394, 0.004655192783322743, 0.017420971736763116, 0.006433781136735217, 0.009077227038297029, 0.0055738624822815296, 0.0022068759286631456, 0.005531375465190133, 0.01434633775488433, 0.014154459945121422, 0.0038503666326477407, 0.00839713138571274, 0.0073396351836269285, 0.013511006554678705, 0.025816944830750126, 0.006715725578187713, 0.004042289151792834, 0.008913994722720744, 0.013701830980183002, 0.003082415724242617, 0.0002889620290335738, 0.002442057018627344, 0.009362576774343224, 0.020158560055126656, 0.013219511065702747, 0.014366135028629637, 0.01232766912192838, 0.009011884510940838, 0.0009494470321417388, 0.0010160388406234189, 0.009764320126762687, 0.0035017543314067754, 0.00777517842113838, 0.006611348391217424, 0.004436532571410203, 0.006469989668058173, 0.005630501300206701, 0.010071775082259848]]"
Tate McRae,greedy,71 contributorstranslationsportugusespaoldeutschfranaisitalianonorsk bokml riksml eskynederlandspolskihebrewgreedy lyric woo said serious tried ca figure next night still know keep talkin much comin mouth ca tell want say yeah would want baby please believe put hell know yeah yeah sure baby get greedy shit wo end well wo end well woo see eyein never know much past name runnin room around still half age yeah lookin like sweet escape obvious want said would want baby please believe put hell know yeah yeah sure baby get greedy shit wo end well wo end well said curious real act ca tell love hate never met someone like drive crazy know got effect said lem check yeah would want baby please believe put hell know yeah yeah sure baby get greedy shit wo end well wo end well would want would want would want would want would want uh,"[[0.027844507502555082, 0.02445607687766934, 0.005672652038829228, 0.010386759364824402, 0.009487774486675624, 0.0033833574933257657, 0.007877110897488786, 0.0035400220071614336, 0.03460426321462553, 0.0063323517417602565, 0.006966569739715017, 0.0016786830909797906, 0.0032040176671408707, 0.0045677781605519665, 0.0, 0.02884669795057741, 0.0031568187936654823, 0.0046765109139856355, 0.005891149297618676, 0.002345578194901844, 0.006850423345542233, 0.02486332928033839, 0.005622754283024666, 0.005041552015927239, 0.004914673741289118, 0.003334844156063751, 0.011011548355046193, 0.006170269159517996, 0.010765345472298704, 0.0012648753176035103, 0.004678609035709805, 0.006361557601433807, 0.0077918647757338035, 0.010744899337915012, 0.007119195468302755, 0.004753419847765084, 0.003186182590696393, 0.0023249731367726897, 0.0037056666369855683, 0.0038466148903176785, 0.003873089948300327, 0.00739430121402357, 0.003675262788060778, 0.001393695531012324, 0.005202201504161927, 0.009490826483247065, 0.0049601806293687115, 0.0036668034535510033, 0.0027398311523247837, 0.005035421230459658, 0.011371965112033908, 0.01143474505495197, 0.0032083223072092823, 0.004604623644406537, 0.0033150629095074747, 0.007676977411408877, 0.005104450331382998, 0.0, 0.0034367826904777928, 0.013797065956375932, 0.013097444972468574, 0.009421513537561585, 0.005801560935245203, 0.007012806637757311, 0.006115010981898099, 0.0005637552779267568, 0.0, 0.0050921762793952365, 0.003126414239592846, 0.00426115078469448, 0.006782269401067568, 0.003676863341269886, 0.0042662263345247635, 0.00796479464625755, 0.004900069831350246]]"
Tate McRae,It's ok I'm ok,45 contributorstranslationsespaolhebrewnederlandsportugustrkehrvatskipolskideutschitalianoits ok im ok lyric mm yeah uh see excited mm got locked mmh yeah movin like mm found ai talker good money close mother seein sided got right like perfect like oh version ai nobody got nervous oh baby hey right position hey baby get twisted hey nothin could make miss take okay okay first place okay okay okay yeah yeah okay okay really got ta say okay okay anyway way anyway way anyway way anyway oh oh oh oh romantic romantic got like fuck month long flight ca go near like perfect like oh version ai nobody got nervous nervous oh baby hey right position hey baby get twisted hey nothin could make miss take okay okay first place okay okay okay okay okay really got ta say okay okay anyway way anyway way anyway way anyway way way way okay okay first place okay okay okay okay okay okay really got ta say okay okay anyway anyway anyway anyway anyway anyway anyway oh oh oh oh want anyway girl take want anyway girl take want anyway girl take okay take want yeah want yeah want anyway anyway girl take want anyway want anyway anyway girl take anyway okay okay take anyway want yeah want,"[[0.015279929270000426, 0.004506744457053698, 0.0052963731073942324, 0.0049112260364560425, 0.0038986854451971004, 0.0010522367084123388, 0.004867296902552428, 0.00465151958657868, 0.013621058976036935, 0.0023001103299377774, 0.0043228083707417386, 0.0014179019145052554, 0.001620849111634791, 0.0040594067694929535, 0.0, 0.0026559117450179514, 0.0016992806384346535, 0.002381196229260243, 0.0035991881264934265, 0.0035985386595719596, 0.003790428614081941, 0.013336424303669884, 0.002561430044451415, 0.004626604179661241, 0.003166391744516795, 0.002342428146000689, 0.00280173227227396, 0.001144391688154632, 0.007313541800721969, 0.0037953389595547153, 0.0005495702991731796, 0.0027612286928514903, 0.00333475615256414, 0.009842712055193383, 0.0031932771692160544, 0.0022005036543385893, 0.0020756084319611756, 0.0006349541415749452, 0.0013951545226305003, 0.005412497707857149, 0.004060070793967645, 0.002739882775775309, 0.0017705274718291734, 0.0007478436686963765, 0.0029832593998409965, 0.0078778474537532, 0.003397537357503906, 0.0010808274123077744, 0.0015727426246595632, 0.0015611525108332675, 0.004788818441953496, 0.017274897414692524, 0.0020781159889023777, 0.00564625124046721, 0.0029350250683790984, 0.004284348538402514, 0.0014343953632625181, 0.0014495600258786626, 0.0016226537597118567, 0.00819012248928425, 0.010407371014324358, 0.003520410827777102, 0.0033709480145635586, 0.0033735094859847757, 0.004950232255406182, 0.0002549474578406169, 0.0006194649334946846, 0.002955063348618379, 0.001254570336662852, 0.002779566651458042, 0.0032687890863447294, 0.0018701349955754431, 0.0018101301294423907, 0.0038424230309014136, 0.0029966079420041935]]"
Tate McRae,you broke me first,94 contributorstranslationsdansktrkeespaolportugusitalianofranaisdeutschpolskiyou broke first lyric broke first ah maybe like talkin much shoulda told thinkin someone else drunk party maybe car broke phone couple month callin know like shit go way needed fix like ran every reason suddenly askin back could tell get nerve yeah could say miss really care bad hurt broke first broke first took denial first heard moved quicker coulda ever know hurt swear would stare phone see name really know say know like shit go way needed fix like ran every reason suddenly askin back could tell get nerve yeah could say miss really care bad hurt broke first broke first think would happen think would happen never let think would happen suddenly askin back could tell get nerve yeah could say miss really care bad hurt broke first broke first broke first broke first ah,"[[0.006275646133366593, 0.014034001203220651, 0.006422646065621178, 0.010718456770148318, 0.041115351026073256, 0.0026915268754626213, 0.0006582185265263692, 0.008981675029588005, 0.01970945848879103, 0.003765004230792054, 0.012069559878408465, 0.002086578750553197, 0.008562768444434765, 0.004603714759926804, 0.0012576260240906737, 0.0027405554821706194, 0.0038747084092995866, 0.004716748663601137, 0.003797516042167602, 0.014521911724619984, 0.011479259209729385, 0.00654230664760758, 0.0028635932837065836, 0.0094000443940895, 0.003653740168553997, 0.004948434760532342, 0.022855774947578733, 0.0022913466160605573, 0.0, 0.0038057931247361225, 0.0, 0.005330652866444324, 0.010509422274120753, 0.012571625037107991, 0.012015629790830781, 0.0038694549949011094, 0.003988513052386179, 0.005138915206181239, 0.006136042730656774, 0.01066697735686414, 0.0035969748910447425, 0.009178630773509616, 0.0013638202006399436, 0.002004853315769654, 0.005705323159388323, 0.009079261721034178, 0.005140274894718403, 0.0035114913712106875, 0.002534410812751, 0.008245941562184285, 0.005679375765065902, 0.012277451541597368, 0.0025079515937415082, 0.004484437113837331, 0.008779884794929783, 0.008345503540418337, 0.00819998638292987, 0.0010782442469237329, 0.0041630593894490765, 0.006538714872949644, 0.020968108045661, 0.002522106102538379, 0.0021856553054833703, 0.009437769056735736, 0.006881504400691098, 0.00217795993624716, 0.0032962673796446615, 0.003532612492471439, 0.0012570872306616344, 0.007803577457066806, 0.004303461009705226, 0.0038252544773785444, 0.00462832138751999, 0.00673461555044743, 0.004342652863295822]]"
Tate McRae,I know love (feat. The Kid LAROI),32 contributorstranslationsespaolportugushebrewitalianoi know love lyric said lie girl lookin sexy magazine doin photo look like cover practicin new kinda promo said baby want give somethin hold feel yeah said baby want give somethin got right know love hit hit hit yeah know love yeah yeah know love hit feel like little like drug got sick mornin knee yeah fucked fallin know love hit hit hit yeah know love know love started friend end know see problem started friend end next honestly shit crazy said type mexico tonight said gon quick twelve month everybody need somebody hold mm yeah girl stop actin like tough let guard know love hit hit hit yeah know love yeah know love yeah know love hit feel like little like drug got sick mornin knee yeah fucked fallin know love hit hit hit yeah know love know love hit hit love hit hit love hit like hit know love hit love know love hit know love yeah know love know love new love new plan new script yeah beginnin happening quick boy mm new nail new hair new trick new position put put like yeah oh know love hit hit hit yeah know love yeah know love yeah know love hit feel like little like drug got sick mornin knee yeah fucked falling know love hit hit hit yeah know love know love oh mm hit hit,"[[0.20066407372092554, 0.15738248195520466, 0.01692728233548156, 0.011525774971401559, 0.007516119713664959, 0.010148238520480926, 0.06405708962504629, 0.004886321954223791, 0.022182613967033797, 0.0044435427354632285, 0.007232242099086471, 0.006020204625080827, 0.0020342276196312955, 0.0064476924878660614, 0.0, 0.14833944765702722, 0.002118799119731313, 0.003979161487498281, 0.003800726856319961, 0.005076976613249868, 0.005445407444899517, 0.012884683223851535, 0.0028318736884990485, 0.0017625444039213345, 0.003796732865989904, 0.0033489913838618715, 0.002775913577589519, 0.002323110089291268, 0.004026872315426837, 0.0017718570184249158, 0.0016059993958859177, 0.005708278097929127, 0.004290935689350518, 0.017905976752143605, 0.007544870629995803, 0.0038054782077522817, 0.002971863916176825, 0.00040596563950014044, 0.00974254945769305, 0.005244173095704422, 0.0033474327634841184, 0.006760635935103325, 0.002803370027660133, 0.0014773958338066544, 0.0018593792332792084, 0.010496964136395979, 0.006194290882435883, 0.0038918042016429684, 0.001836805496466542, 0.0038221663504229056, 0.015636032629931504, 0.010242383121469733, 0.00407140487939235, 0.0057572400769589, 0.003971255365826365, 0.00576939691448661, 0.008366398541411305, 0.0006152545305611189, 0.0018563894417456806, 0.09920949020490415, 0.0268731941722868, 0.009308484682607242, 0.0021753473292125945, 0.00820388080125565, 0.004435362073502224, 0.00025007638433135354, 0.0004928119248741417, 0.0021956899166449143, 0.0009106210678285021, 0.003034208848769822, 0.0039890884746823126, 0.0020493200976068097, 0.003731060178095491, 0.0048198186042999495, 0.0049115554580234375]]"
Tate McRae,Dear god,54 contributorstranslationsportugustrkeespaolhebrewnederlandsitalianodear god lyric yeah lay back mind stay pop time time like hey seen two year baby still breathe air new love almost workin never used person hand chest knee carpet hopin stop ah dear god take kiss right brain take pleasure pain take way used say love dear god get imprint bed take amazing sex take away way still might want fact memory babe play play play play back erase name give give give everything thought pray pray pray pray take away way still might want hottest thing ever touched bein honest really tryna good promise hand chest knee carpet hopin stop ah dear god take kiss right brain take pleasure pain take way used say love dear god get imprint bed take amazing sex take away way still might want fact memory babe play play play play back erase name give give give everything thought pray pray pray pray take away way still might want dear god uh uh dear god uh uh dear god hope listenin play play play play back pray ai missin dear god hope listenin play play play play back pray ai missin dear god hope listenin dear god dear god dear god give give give everything dear god dear god dear god pray pray pray,"[[0.044679524059909034, 0.03188353736634931, 0.008359017071015325, 0.01616518650249159, 0.007631657260965007, 0.006398009577080346, 0.01334597491958567, 0.007123929821177224, 0.017233476153308773, 0.00998220072177234, 0.005817623425114177, 0.005637132912110129, 0.003542623490899468, 0.007521122783600035, 0.00021712222903099153, 0.0368870724247674, 0.012266275200802264, 0.006459923097163551, 0.007176171418087612, 0.0023635928979701217, 0.017688939989983186, 0.016234313726082843, 0.005571107567791573, 0.0036379702782370956, 0.06647573732141382, 0.00221769509952589, 0.009530173785827416, 0.0023080806043080195, 0.01095167125811198, 0.0029848940251975225, 0.0010733996091457708, 0.006864114813995157, 0.005045393294114922, 0.0071545291281575355, 0.0037610536261242548, 0.014070708725101059, 0.006986144450586049, 0.006471237779591783, 0.03556887103372686, 0.014292242785143034, 0.011706233267908176, 0.014731237811833896, 0.003800227659134569, 0.0019955881775060654, 0.002069294431461157, 0.011200304668837851, 0.012264092342991452, 0.005131787731827525, 0.007295794794057323, 0.00824507079528606, 0.0058888430809670945, 0.010286009584891526, 0.013944425249664175, 0.006862537657523452, 0.008600222277692278, 0.034431954675733435, 0.0027327637739221196, 0.0013511197746542637, 0.003143907874873213, 0.020938033183450167, 0.021476193872237478, 0.018821225985741367, 0.008369551265157755, 0.032074764832772, 0.012388229824440685, 0.00014495382624821443, 0.0007887310512583594, 0.004078358572125865, 0.004241298769827935, 0.004722654148852266, 0.007365950991237244, 0.014489574367411384, 0.006951205628898364, 0.007475458411417564, 0.006448632921299917]]"
Tate McRae,Purple lace bra,49 contributorstranslationsespaolnederlandsitalianoportugusitalianohebrewpurple lace bra lyric singin screamin goin night throat bleedin cryin dreamin yeah know look see purple lace bra catch attention uh yeah look eye made question would hear whispered ear made inner thought sound like ah ah would hear touch right made everythin want sound like ah ah ah would hear hear would hear hear would hear inner thought sound like ah ah could take tell goin hm body positioning determines listenin dance lap pique interest yeah got like let finish would hear whispered ear made inner thought sound like ah ah would hear touch right made everythin want sound like ah ah ah would hear hear would hear hear would hear ooh would hear inner thought sound like losin mind losin head listen undressed hear like none rest ooh losin mind giving head time think got depth ooh hear like none rest would hear whispered ear made inner thought sound like ah ah would hear touch right made everythin want sound like would hear whispered ear made inner thought sound like ah ah would hear touch right made everythin want sound like ah ah would hear hear would hear would hear hear hear babe would hear yeah oh inner thought sound like ah ah,"[[0.003272315217445827, 0.004227315388978914, 0.0022023057665050668, 0.0074841303943442225, 0.0017863145124341435, 0.0011254699839684749, 0.0005888116943174561, 0.0012744541724410922, 0.0055507657101118235, 0.0022694939107894352, 0.0037438013989623087, 0.002280979550262887, 0.0030612849880550987, 0.002541349134277256, 0.0009731804875692902, 0.001379022787791747, 0.003697922051700778, 0.0026173446347747134, 0.0053995296810199645, 0.001713225880948996, 0.013058241313563698, 0.002392348230612155, 0.002596976092924685, 0.004934416722602499, 0.006045657993523128, 0.0024763947608033706, 0.004423432939141515, 0.0014223578759427994, 0.0012202781820808552, 0.0016391213802117032, 0.00149068213567597, 0.00825433416879994, 0.004189212713246199, 0.010886367588999132, 0.0037763977352843706, 0.0026371190528004184, 0.004180429741827755, 0.002195650627437549, 0.0044329162719731734, 0.008591728160388171, 0.0025915869572228955, 0.006055980110306026, 0.0018366702759285889, 0.00032634945026623085, 0.0029790739485846397, 0.005605354476963248, 0.003341301373301903, 0.0021613559363762654, 0.0033218462098470354, 0.0030426337911224153, 0.004123591472962557, 0.007580419242645292, 0.0008635782093849982, 0.004485069254625756, 0.003926609707787139, 0.006252192880719547, 0.0004713797381763174, 0.000898644735321397, 0.0011235625716110918, 0.007292594686532227, 0.014028928369822561, 0.003033718177961977, 0.0021759517723725346, 0.015210321929665692, 0.005822985426572681, 0.0, 0.0, 0.0019452162154992728, 0.0016962602800194473, 0.002381357887370982, 0.004847389803983882, 0.004691495992523665, 0.0015490141714117717, 0.004560109770310727, 0.009706235177095176]]"
Tate McRae,Miss possessive,37 contributorstranslationsitalianoportugusespaolhebrewmiss possessive lyric seriously get hand man baby blue undressin funny think notice actin like friend opposite know tryin hard runnin tryna fuck star go look floor ceilin anyone else feelin take home whoever walk keep eye yes miss possessive pretty girl gon learn lesson fight never gon na win keep eye better better keep keep keep keep bettr better keep keep keep eys better better keep keep keep keep better better keep keep keep eye yeah nice generous tonight forgot tellin seen 1 side two drink ca leave man alone go look floor ceilin anyone else feelin take home whoever walk keep eye yes miss possessive pretty girl gon learn lesson fight never gon na win keep eye better better keep keep keep keep better better keep keep keep eye better better keep keep keep keep better better keep keep keep eye better better keep keep keep keep oh better better keep keep keep eye better better keep keep keep keep better keep eye better better keep keep keep eye better keep eye look floor ceilin anyone else feelin take home whoever walk keep eye better better keep keep keep eye yes miss possessive pretty girl gon learn lesson fight never gon na win keep eye better better keep keep keep eye,"[[0.003931483980530098, 0.010842311850063763, 0.007671989471383318, 0.006075010513349998, 0.013505211557657104, 0.0010789771270949492, 0.0, 0.0048301047041701935, 0.005873722449952814, 0.005768861511610235, 0.006122286235199478, 0.0009144407651602381, 0.004760927402688239, 0.0049434678898672, 0.0, 0.0009806017463967478, 0.017049458019046563, 0.017055911207570898, 0.0012164597991887222, 0.0007591555587901197, 0.00811224577528776, 0.01613796121713198, 0.0070136405503969405, 0.0038167420639639432, 0.009988383996046611, 0.012577106961965902, 0.004831402115215414, 0.006355037136663748, 0.0005605704183233592, 0.00840928282023008, 0.0, 0.0038653621904020646, 0.0027562261739794663, 0.005022925825641314, 0.0145051429610905, 0.0009169774082545626, 0.002039402870221253, 0.004599370851854017, 0.00043479629932155023, 0.007077850744511041, 0.004065513208591617, 0.016752614731724326, 0.018558628909124148, 0.0011439413860060855, 0.024759662101086332, 0.012699882966860459, 0.000537981119944065, 0.005172518917743563, 0.0006649194448338248, 0.007797943116027041, 0.020553687217149542, 0.00947445935996715, 0.001266772351942047, 0.004767235986344469, 0.009070060136024547, 0.009017263729710878, 0.009654158095683065, 0.0022172969904901466, 0.000577028019649581, 0.007793852568260244, 0.017210050604003428, 0.007330794849138302, 0.005986968695812406, 0.01301019269007371, 0.011031041938572891, 0.003826766857049539, 0.0, 0.0031533444605290856, 0.008044971610890482, 0.005590942136381176, 0.005766988532368277, 0.004806753478446887, 0.013120556206475962, 0.0023296926802944817, 0.001815943979763387]]"
